District,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Rank,County,Per capita income,Median household income,Median family income,Households,Population
Watertown,3140000,MATH,490,44,83,7,407,37,429,39,191,17,1110,99,496,52,838,283,Middlesex,38159,72563,89393,16027,35171
Dedham,730000,MATH,524,47,77,7,447,40,462,42,121,11,1107,99,498,53,831,53,Norfolk,57489,108047,149467,10458,25308
North Reading,2170000,MATH,759,69,157,14,602,55,294,27,41,4,1094,100,510,55,856,49,Middlesex,61653,124196,127358,5848,15549
Foxborough,990000,MATH,620,57,108,10,512,47,383,35,90,8,1093,99,503,48,858,86,Norfolk,57552,95410,127679,7289,18431
Northampton,2100000,MATH,413,38,56,5,357,33,472,43,206,19,1091,96,492,49,816,243,Hampshire,41663,72687,105741,11949,29379
Northborough,2130000,MATH,608,56,126,12,482,44,393,36,89,8,1090,99,503,50,843,74,Worcester,62946,129780,161601,5821,15863
Groton-Dunstable,6730000,MATH,644,60,116,11,528,49,372,35,60,6,1076,99,505,45,866,,,,,,,
Ashburnham-Westminster,6100000,MATH,444,41,42,4,402,37,536,50,95,9,1075,100,497,48,892,,,,,,,
Lynnfield,1640000,MATH,683,64,126,12,557,52,335,31,48,5,1066,100,507,51,865,40,Essex,67303,147237,167700,4536,12874
Rockland,2510000,MATH,440,42,59,6,381,36,439,42,174,17,1053,100,495,51,819,273,Plymouth,38962,90315,108325,6654,17774
Norton,2180000,MATH,372,35,29,3,343,33,539,51,139,13,1050,98,493,43,835,191,Bristol,45590,109375,124310,6489,19270
Sandwich,2610000,MATH,571,55,79,8,492,47,370,36,98,9,1039,100,501,54,849,88,Barnstable,56895,124354,141250,7918,20369
Quabbin,7530000,MATH,392,38,44,4,348,34,480,46,161,16,1033,100,494,48,796,,,,,,,
Pentucket,7450000,MATH,516,50,79,8,437,43,419,41,90,9,1025,99,500,54,794,,,,,,,
Norwell,2190000,MATH,680,66,132,13,548,54,299,29,45,4,1024,100,508,53,808,38,Plymouth,68728,136875,207813,3180,11258
Stoneham,2840000,MATH,496,49,76,7,420,41,406,40,113,11,1015,100,498,49,802,206,Middlesex,44665,73849,111667,9578,23077
Gardner,1030000,MATH,234,23,20,2,214,21,456,45,318,32,1008,99,483,47,769,329,Worcester,30506,52770,64699,8841,21183
Medway,1770000,MATH,575,58,104,10,471,47,341,34,83,8,999,100,503,46,777,43,Norfolk,66559,147257,164737,4681,13105
Ludlow,1610000,MATH,318,32,27,3,291,29,495,50,185,19,998,99,490,48,783,145,Hampden,49193,103498,129170,8567,21050
Seekonk,2650000,MATH,506,51,69,7,437,44,392,40,91,9,989,100,500,49,779,153,Bristol,48651,100041,117016,5969,15339
Abington,10000,MATH,418,43,57,6,361,37,437,45,117,12,972,98,497,46,753,197,Plymouth,45174,113155,138555,6083,16974
Swansea,2920000,MATH,438,45,57,6,381,39,422,43,111,11,971,99,497,50,783,215,Bristol,44108,101703,112873,6752,17020
Triton,7730000,MATH,435,45,58,6,377,39,426,44,106,11,967,99,498,59,751,,,,,,,
Belchertown,240000,MATH,349,36,23,2,326,34,487,50,130,13,966,98,493,48,770,223,Hampshire,43421,101109,117121,5888,15228
Mendon-Upton,7100000,MATH,441,46,50,5,391,41,440,46,77,8,958,100,498,54,766,,,,,,,
